Numeric_clinical_feature	p.value	Correlation(R)	p.adj
D_040_2_YM155	0.241370360879657	0.090607614516348	0.312525785185221
D_166_1_PRT062607_HCl	0.240971823585355	0.0906840745372082	0.312525785185221
D_035_5_saracatinib	0.242366722644577	-0.0904168454165235	0.312911503587235
D_011_5_enzastaurin	0.245585691708509	-0.0898042320284847	0.3152504008178
D_083_5_encorafenib	0.245282092387509	0.0898617716364419	0.3152504008178
D_034_5_chaetocin	0.24634921270236	-0.0896597439897945	0.315326992259021
D_168_4.5_sotrastaurin	0.247236523483395	0.0894922202779754	0.315561146782225
D_066_1.5_arsenic_trioxide	0.249917859402719	0.0889885063555253	0.317156280212959
D_127_1_SD07	0.251149868322933	-0.0887583164503864	0.317156280212959
D_168_5_sotrastaurin	0.250021890698435	0.0889690387192821	0.317156280212959
D_172_4_BIX02188	0.251318034543751	0.0887269567153607	0.317156280212959
D_041_1.5_BAY_11_7085	0.254636800674785	0.0881110154485007	0.320356481254709
D_167_1_UCN_01	0.255284070999846	0.087991532633045	0.320356481254709
D_040_3_YM155	0.262568393052609	0.0866610272309905	0.328577206948516
D_021_5_rigosertib	0.276815613083282	-0.0841298854011206	0.34387657038779
D_025_5_NSC_74859	0.27709696854909	-0.0840807998309956	0.34387657038779
D_040_1_YM155	0.276569667273247	0.0841728209742445	0.34387657038779
D_025_4_NSC_74859	0.278810699841732	-0.083782544560042	0.345047495936729
D_043_4_SGX_523	0.281122967524251	0.0833820728708369	0.346950659644255
D_167_5_UCN_01	0.286894266861507	0.0823920815635614	0.353100636137239
D_033_4.5_tipifarnib	0.288257803028131	0.0821601368594792	0.353806837689322
D_149_1.5_MIS_43	0.296634011277835	0.0807511109220532	0.36309299741112
D_075_5_rabusertib	0.306464343526669	0.0791307070690585	0.373087026902032
D_CHK_4_BML_277_and_rabusertib	0.306205170705232	0.0791729854615004	0.373087026902032
D_013_2_afatinib	0.309659831134753	0.0786113498238919	0.375955567339754
D_010_5_nutlin_3	0.311177124784992	-0.0783659752994631	0.376776626766693
D_054_5_gefitinib	0.313217067770679	0.0780373079637648	0.378224383723084
D_165_3_silmitasertib	0.31509656299577	-0.0777357251438167	0.379471129629314
D_060_5_cephaeline	0.317955083728366	0.0772792851371838	0.381887071073212
D_021_4.5_rigosertib	0.320270102186351	-0.0769115793268408	0.383639052886324
D_033_4_tipifarnib	0.330652561915488	0.075283271535833	0.39501959396837
D_033_5_tipifarnib	0.338236883308653	0.0741144361843983	0.403005648197544
D_025_1.5_NSC_74859	0.344729832525546	-0.07312698088975	0.409652426979959
D_162_3_BML_277	0.361315642842041	-0.0706566627282848	0.428225947072049
D_007_2_vorinostat	0.363014802949285	-0.0704076199348002	0.429104569185435
D_168_4_sotrastaurin	0.380707780373398	0.0678560744882842	0.448834435808638
D_007_1.5_vorinostat	0.388098611085739	-0.0668116909536113	0.45634692327142
D_159_5_doxorubicine	0.394873725351879	-0.0658648142157171	0.463097981564507
D_066_2_arsenic_trioxide	0.401113930183071	0.0650012727170547	0.468194837428736
D_165_5_silmitasertib	0.401309860653202	-0.0649742893504626	0.468194837428736
D_008_5_bortezomib	0.408575189779414	-0.0639791821404701	0.475375048481255
D_141_4.5_SD51	0.40958653730751	0.0638414935844037	0.475375048481255
D_010_2_nutlin_3	0.420342571272758	-0.0623893177965488	0.484903315717931
D_011_3_enzastaurin	0.421043280835436	0.0622954720875867	0.484903315717931
D_CHK_4.5_BML_277_and_rabusertib	0.420456730719574	0.062374022270491	0.484903315717931
D_011_4.5_enzastaurin	0.434024708720108	-0.0605729723883128	0.497296852958078
D_141_1.5_SD51	0.43306717639273	0.060699004865254	0.497296852958078
D_169_3_tofacitinib	0.437413223674209	0.0601282417809248	0.499900827056239
D_074_4.5_VE_821	0.448816484054835	0.0586458244419571	0.511627951288972
D_041_2_BAY_11_7085	0.459962317260746	0.0572172112488057	0.523002837900544
D_149_2_MIS_43	0.46136301454515	0.057039046936423	0.523267419028423
D_021_4_rigosertib	0.467760796529729	-0.0562290444983164	0.529183931427572
D_032_4_NU7441	0.50472242713863	0.0516628245258374	0.569560824579613
D_074_5_VE_821	0.509211866172734	0.0511204511433763	0.573183206144183
D_141_2_SD51	0.517570298780471	0.0501172212690198	0.581131563542985
D_077_5_SCH_900776	0.523370457389359	0.0494259327233942	0.586174912276082
D_075_1_rabusertib	0.52574591142056	0.049143942518883	0.58736700328282
D_049_1.5_chaetoglobosin_A	0.527688831866754	0.0489137781235848	0.588071136010711
D_035_4.5_saracatinib	0.537569007841018	0.0477498854131247	0.597595323853042
D_141_1_SD51	0.543208600560331	0.0470903179171286	0.602369933294625
D_032_4.5_NU7441	0.545011980352495	0.0468801222776249	0.602877449871402
D_162_4_BML_277	0.553756050066603	0.0458657450671357	0.611041158694183
D_053_5_sunitinib	0.568817623805998	-0.044136487559879	0.626118662076381
D_029_1_TAE684	0.576849345455575	0.043223242542883	0.63340320285318
D_074_4_VE_821	0.584856179920127	0.0423187208254242	0.640624862113
D_141_4_SD51	0.599159474934263	0.0407169264669945	0.654691328708658
D_081_3_venetoclax	0.605876482782895	0.0399706616489377	0.660420107753618
D_165_1.5_silmitasertib	0.630283695622005	0.0372890673102658	0.685357028249171
D_066_4_arsenic_trioxide	0.632459222158912	0.0370522276753967	0.686057461324922
D_169_2_tofacitinib	0.636469532849925	0.0366165397865318	0.68873997757673
D_006_5_fludarabine	0.651590656343803	-0.0349838921401053	0.703403889257889
D_021_1.5_rigosertib	0.664148776434265	-0.0336396193985625	0.71352194686463
D_066_5_arsenic_trioxide	0.662759399174217	-0.0337878436892093	0.71352194686463
D_032_5_NU7441	0.670295376628183	0.0329853291460341	0.71806178770228
D_141_3_SD51	0.671580109480481	0.0328488682958417	0.71806178770228
D_053_4_sunitinib	0.683436025035776	0.0315942570217121	0.728998426704828
D_025_3_NSC_74859	0.685374468843662	-0.0313899155344816	0.729329601049788
D_045_5_KU_60019	0.699508657180352	0.0299063768542124	0.742606346959236
D_021_3_rigosertib	0.708623432029653	0.0289554477862758	0.750504249525495
D_CHK_5_BML_277_and_rabusertib	0.711154737626934	0.0286921323380415	0.751408779379402
D_004_4_SNS_032	0.725226410036737	-0.0272342234244397	0.762915514238109
D_007_1_vorinostat	0.725773708147367	-0.027177716040795	0.762915514238109
D_049_3_chaetoglobosin_A	0.727153849508198	0.0270352828652478	0.762915514238109
D_007_5_vorinostat	0.754119542207253	-0.0242698115338987	0.787518776011304
D_011_4_enzastaurin	0.752901711054771	-0.0243940218584658	0.787518776011304
D_001_2_navitoclax	0.770991056583716	0.0225552267107993	0.802626340264374
D_149_3_MIS_43	0.772169537173985	0.0224358800383943	0.802626340264374
D_162_4.5_BML_277	0.77992141789171	0.0216521334430364	0.808807396332144
D_008_2_bortezomib	0.796349676531916	-0.0199982948376679	0.823936847774361
D_004_3_SNS_032	0.805891250148669	0.0190419176489068	0.829975356474951
D_004_4.5_SNS_032	0.805675994578741	-0.0190634610770855	0.829975356474951
D_169_4.5_tofacitinib	0.808773425720977	-0.0187536005892038	0.831033244777518
D_169_4_tofacitinib	0.825121839616355	-0.0171229307256167	0.845891496906469
D_169_5_tofacitinib	0.832316537286741	-0.0164077134127513	0.851319197955388
D_025_1_NSC_74859	0.836654797766103	-0.0159771238802335	0.853807174030101
D_004_1.5_SNS_032	0.872136969114722	0.0124724461112939	0.887994004916808
D_162_5_BML_277	0.87615346711209	-0.0120774445522259	0.890060665002758
D_004_5_SNS_032	0.884463321941454	0.0112611882722004	0.896469611379573
D_066_4.5_arsenic_trioxide	0.905671069678223	0.00918339064343293	0.915893090780686
D_084_5_ruxolitinib	0.909245877354804	-0.00883383788672023	0.917437281655298
D_007_4_vorinostat	0.926897763607595	0.00711026801801696	0.933146512575736
D_007_4.5_vorinostat	0.947370179030195	-0.00511559540259305	0.951618475797147
D_053_4.5_sunitinib	0.963778691283415	-0.00351936154880547	0.965934795738188
D_165_2_silmitasertib	0.984187233153934	-0.00153598821699864	0.984187233153934
